id,q_char_len,q_word_count,q_has_time_words,q_has_subjective_words,q_has_condition_words,q_asks_support_judgment,q_entity_count,q_has_false_premise_pattern,q_has_high_risk_keywords,ev_top1_similarity,ev_top5_avg_similarity,ev_query_token_overlap,ev_answer_token_overlap,ev_coverage_ratio,ev_contradiction_proxy,ev_sufficiency_score,ev_count,ev_total_length,risk_high,risk_medium,sc_action_vote_entropy,sc_majority_action_ratio,sc_answer_vote_count,sc_ask_vote_count,sc_retrieve_vote_count,sc_abstain_vote_count,sc_challenge_premise_vote_count,sc_answer_reject_disagreement,sc_rationale_text_overlap,sc_rationale_text_disagreement,sc_answer_embedding_disagreement,sc_answer_length_variance,sc_entity_disagreement,sc_date_disagreement,sc_number_disagreement,sc_majority_answer_ratio,sc_self_consistency_score
kgd_a9145d9b5ba1,23,21,1,0,0,0,0,0,0,0.46153135533295236,0.33434992499186894,0.1956521739130435,0.21951219512195122,0.47368421052631576,0.0,0.3509457184906435,2,57,0,1,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4331084310426416,0.5668915689573584,0.5668915689573584,433.2,0.4,0.4000000000000001,0.4000000000000001,1.0,0.7732433724170567
kgd_6ef3e3b62e9b,95,17,0,0,0,0,1,0,0,0.28491052634393754,0.15601644382371652,0.17857142857142858,0.15384615384615385,0.3125,1.0,0.0,2,121,0,0,-0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2675999215596353,0.7324000784403647,0.7324000784403647,779.7,1.6,0.0,0.0,1.0,0.7070399686238541
kgd_60b74aacb5e7,19,17,0,0,0,0,0,0,1,0.1960170683044621,0.1881812051028272,0.15384615384615385,0.2653061224489796,0.47058823529411764,0.0,0.25459114320320997,2,59,1,0,-0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.15354395354770167,0.8464560464522983,0.8464560464522983,1576.7,0.4000000000000001,0.0,0.0,1.0,0.6614175814190807
kgd_5a6ce2b298f6,24,22,0,1,0,0,0,0,0,0.22516011505254022,0.18025598248979724,0.20454545454545456,0.1794871794871795,0.4090909090909091,0.0,0.2510736642327858,2,36,0,0,0.31091750708257115,0.8,0.0,0.0,0.0,4.0,1.0,0.0,0.15683306836248012,0.8431669316375199,0.8431669316375199,2022.7,0.48989794855663565,0.0,0.0,0.8,0.5427332273449921
kgd_ced74f0e3a09,61,12,0,0,0,0,1,0,0,0.0845798608014702,0.0845798608014702,0.09523809523809523,0.05,0.18181818181818182,1.0,0.0,1,75,0,0,0.31091750708257115,0.8,0.0,0.0,0.0,1.0,4.0,0.0,0.5239644896166635,0.47603551038333647,0.47603551038333647,202.3,0.4898979485566356,0.0,0.0,0.8,0.6895857958466654
kgd_8f6924189830,50,10,0,0,0,0,1,0,0,0.2535350735756095,0.12676753678780475,0.11764705882352941,0.3125,0.2222222222222222,0.0,0.28264234756657475,2,52,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5216666666666666,0.4783333333333334,0.4783333333333334,169.2,0.0,0.0,0.0,1.0,0.8086666666666666
kgd_0825ab15a61a,15,14,1,0,0,0,0,0,0,0.2530656029665449,0.22471282980344937,0.19047619047619047,0.375,0.5714285714285714,0.0,0.3172363576987156,2,58,0,0,0.31091750708257115,0.8,4.0,0.0,1.0,0.0,0.0,0.4,0.3789542524935916,0.6210457475064084,0.6210457475064084,92.7,0.9797958971132713,0.9797958971132713,0.9797958971132713,0.8,0.6315817009974366
kgd_6d54c59facff,33,30,0,0,0,0,0,0,0,0.3975687086748239,0.3507250097961592,0.2962962962962963,0.20408163265306123,0.6666666666666666,0.0,0.34415245094420327,2,81,0,0,0.31091750708257115,0.8,0.0,0.0,0.0,1.0,4.0,0.0,0.43606035886208294,0.5639396411379171,0.5639396411379171,382.0,0.4898979485566356,0.0,0.4898979485566356,0.8,0.6544241435448331
kgd_b97a615d759d,12,11,0,1,0,0,0,0,0,0.22694066471219956,0.22694066471219956,0.15151515151515152,0.18181818181818182,0.45454545454545453,0.0,0.20744957380275703,1,42,0,0,-0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.16909493872491974,0.8309050612750802,0.8309050612750802,1003.5,0.0,0.0,0.0,1.0,0.6676379754899678
kgd_80ccbdb51fa0,18,11,0,0,0,0,0,0,0,0.25626262576601727,0.25626262576601727,0.2,0.18421052631578946,0.5454545454545454,0.0,0.22997628901915673,1,31,0,0,0.31091750708257115,0.8,4.0,0.0,1.0,0.0,0.0,0.4,0.4001818181818182,0.5998181818181818,0.5998181818181818,738.3,0.0,0.0,0.0,0.8,0.6400727272727272
kgd_8b30b9ffc0d3,24,17,0,0,0,0,0,0,0,0.29622102916371995,0.16911251110361367,0.20512820512820512,0.26666666666666666,0.47058823529411764,0.0,0.3376921962104187,3,59,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4805507246376811,0.5194492753623189,0.5194492753623189,1538.2,0.0,0.0,0.0,1.0,0.7922202898550724
kgd_d7e4fa9ae695,16,15,0,0,0,0,0,0,0,0.25424205574314257,0.12712102787157128,0.15,0.34210526315789475,0.46153846153846156,0.0,0.29891022679642926,2,42,0,0,0.5904362833084089,0.6,3.0,0.0,1.0,1.0,0.0,0.8,0.2104933397393352,0.7895066602606648,0.7895066602606648,400.0,0.0,0.0,0.0,0.6,0.44419733589573407
kgd_66610e060047,12,11,1,0,0,0,0,0,0,0.30422703149596797,0.15211351574798399,0.15789473684210525,0.12121212121212122,0.5454545454545454,1.0,0.0,2,51,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.242409242335613,0.757590757664387,0.757590757664387,2568.5,1.9390719429665317,0.4,0.4,1.0,0.6969636969342452
kgd_a563699a6d7d,32,27,1,0,0,0,0,0,0,0.25193201831421225,0.19617862919587464,0.2619047619047619,0.17647058823529413,0.4583333333333333,1.0,0.0,2,58,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.17871315057410667,0.8212868494258934,0.8212868494258934,395.7,0.9797958971132712,0.9797958971132713,0.9797958971132713,1.0,0.6714852602296426
kgd_9ca9f5c2294d,23,22,0,0,0,0,0,0,1,0.449067099711634,0.449067099711634,0.4411764705882353,0.05555555555555555,0.6818181818181818,0.0,0.3177043214198327,1,30,1,0,0.4181656600790517,0.6,0.0,0.0,3.0,2.0,0.0,0.0,0.21757692307692306,0.7824230769230769,0.7824230769230769,1668.2,0.4000000000000001,0.0,0.0,0.6,0.44703076923076923
kgd_d9369c0b94db,23,21,0,0,0,0,0,0,1,0.521644875612723,0.521644875612723,0.4,0.2222222222222222,0.5263157894736842,0.0,0.38622505273283475,1,19,1,0,0.6554587535412857,0.4,1.0,0.0,2.0,2.0,0.0,0.4,0.3368870091896408,0.6631129908103592,0.6631129908103592,948.2,0.0,0.0,0.0,0.4,0.37475480367585634
kgd_b9402aed1dd3,53,8,0,0,0,0,1,0,0,0.0955486130705032,0.0955486130705032,0.08695652173913043,0.07692307692307693,0.25,0.0,0.11184916415965632,1,102,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3465148489854373,0.6534851510145627,0.6534851510145627,204.2,1.8330302779823358,0.0,1.2000000000000002,1.0,0.7386059395941749
kgd_b9b4a94940f4,19,17,0,1,0,0,0,0,1,0.30762354785597007,0.17512666710206914,0.16279069767441862,0.11904761904761904,0.4375,0.0,0.28842518738792644,3,48,1,0,0.4181656600790517,0.6,0.0,2.0,0.0,3.0,0.0,0.0,0.14239891653684755,0.8576010834631524,0.8576010834631524,3340.7,0.48989794855663565,0.0,0.0,0.6,0.416959566614739
kgd_fe01f68ba4fb,22,20,1,0,0,0,1,0,0,0.21465757454606577,0.11732658753643367,0.16326530612244897,0.09523809523809523,0.4,1.0,0.0,3,53,0,0,0.31091750708257115,0.8,0.0,0.0,0.0,4.0,1.0,0.0,0.19735483565406836,0.8026451643459316,0.8026451643459316,2162.8,0.48989794855663565,0.0,0.48989794855663565,0.8,0.5589419342616273
kgd_052445dddcd9,42,9,0,0,0,0,2,0,0,0.31089831921135386,0.2017914283614406,0.1891891891891892,0.18421052631578946,0.7777777777777778,0.0,0.3150261408166729,3,265,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8342857142857143,0.1657142857142857,0.1657142857142857,10.7,0.0,0.0,0.0,1.0,0.9337142857142857
kgd_17b7a224726e,70,13,0,0,0,0,2,0,0,0.1659759534731738,0.0829879767365869,0.10714285714285714,0.1111111111111111,0.23076923076923078,0.0,0.18664229089123457,2,118,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.47291212220274004,0.52708787779726,0.52708787779726,619.2,0.4000000000000001,0.0,0.0,1.0,0.7891648488810961
kgd_c057d9781b0e,27,24,1,1,0,0,0,0,1,0.1563281423868142,0.11143347795653587,0.14285714285714285,0.07142857142857142,0.3333333333333333,0.0,0.21226183696413226,3,50,1,0,0.4181656600790517,0.6,0.0,3.0,0.0,2.0,0.0,0.0,0.14204639804639804,0.8579536019536019,0.8579536019536019,1552.7,0.4000000000000001,0.0,0.0,0.6,0.4168185592185592
kgd_7c4d273bb66a,76,10,0,0,0,0,2,0,0,0.18473680999508435,0.09812143532379557,0.10256410256410256,0.10810810810810811,0.4,1.0,0.0,3,216,0,0,0.4181656600790517,0.6,0.0,0.0,0.0,3.0,2.0,0.0,0.3822140522875817,0.6177859477124183,0.6177859477124183,104.8,0.4000000000000001,0.0,0.4000000000000001,0.6,0.5128856209150326
kgd_2cb574fcf7c7,15,14,0,1,0,0,0,0,0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.043333333333333335,1,25,0,0,-0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.26028950110985705,0.739710498890143,0.739710498890143,35.3,0.0,0.0,0.0,1.0,0.7041158004439428
kgd_b8880cbf43c4,11,10,0,0,0,0,0,0,0,0.03540569315957176,0.03540569315957176,0.03225806451612903,0.03333333333333333,0.1,0.0,0.063884270927519,1,25,0,0,-0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1338901338313103,0.8661098661686897,0.8661098661686897,2370.7,0.48989794855663565,0.0,0.0,1.0,0.6535560535325241
kgd_8cebfcacb45b,14,13,0,0,0,0,0,0,0,0.1221310100657014,0.11393927126602932,0.078125,0.21666666666666667,0.38461538461538464,0.0,0.1952639504916332,2,93,0,1,-0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.341242782986387,0.658757217013613,0.658757217013613,520.3,0.4898979485566356,0.0,0.0,1.0,0.7364971131945548
kgd_924c9dd916db,25,20,0,0,0,0,1,0,0,0.2004227775854722,0.12240271190295395,0.13793103448275862,0.12962962962962962,0.4444444444444444,0.0,0.2453943719575752,3,75,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.20535854295074682,0.7946414570492532,0.7946414570492532,2478.0,0.8,0.0,0.48989794855663565,1.0,0.6821434171802987
kgd_e08ef0e899bb,25,14,0,0,0,0,0,0,0,0.2565222009996854,0.23220009460650815,0.09210526315789473,0.38372093023255816,0.5,0.0,0.2995245400110514,2,145,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.15598224239528585,0.8440177576047141,0.8440177576047141,2578.7,0.8944271909999159,0.0,0.0,1.0,0.6623928969581143
kgd_38b61b10d025,11,10,1,0,0,0,0,0,0,0.46037144304364497,0.46037144304364497,0.3076923076923077,0.4,0.8,0.0,0.39596678938222607,1,58,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.30962333369656025,0.6903766663034397,0.6903766663034397,854.3,0.8000000000000002,0.0,0.7999999999999999,1.0,0.7238493334786241
kgd_a17e86ef4e9b,47,8,0,0,0,0,1,0,0,0.21349025432187677,0.13578931819631881,0.16666666666666666,0.4090909090909091,0.5,0.0,0.3071869027029192,2,119,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.40537178507766736,0.5946282149223326,0.5946282149223326,302.2,0.0,0.0,0.0,1.0,0.762148714031067
kgd_e5acf741a412,55,10,0,0,0,0,4,0,0,0.28321569392922197,0.22097038847055733,0.25,0.1,0.5555555555555556,0.0,0.259288630359771,2,106,0,0,0.31091750708257115,0.8,0.0,0.0,1.0,4.0,0.0,0.0,0.4711585287328994,0.5288414712671006,0.5288414712671006,286.5,0.8944271909999159,0.0,0.0,0.8,0.6684634114931598
kgd_df3532a05511,14,13,1,0,0,0,0,0,0,0.292684289480413,0.292684289480413,0.25,0.34782608695652173,0.5384615384615384,0.0,0.3039011894228468,1,37,0,0,-0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.5139138062547673,0.48608619374523265,0.48608619374523265,552.7,0.0,0.0,0.0,1.0,0.8055655225019069
kgd_3f1bd2bc1e02,22,16,1,0,0,0,1,0,0,0.23790309463326229,0.23790309463326229,0.24242424242424243,0.21875,0.5,1.0,0.0,1,35,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1601316469468244,0.8398683530531756,0.8398683530531756,1858.7,0.7483314773547883,0.0,0.0,1.0,0.6640526587787298
kgd_406468f57de8,21,20,0,0,0,0,0,0,1,0.4040820255772788,0.21946841440011883,0.2127659574468085,0.26666666666666666,0.5555555555555556,0.0,0.3470263470243305,2,57,1,0,-0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.13642784552845527,0.8635721544715447,0.8635721544715447,4173.7,0.48989794855663565,0.0,0.0,1.0,0.6545711382113821
kgd_1a4e9b0e71ed,12,11,0,0,0,0,0,0,0,0.3083571558815261,0.2727728508273958,0.2413793103448276,0.16666666666666666,0.6363636363636364,0.0,0.28694583417750863,2,37,0,0,-0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.11256893874491328,0.8874310612550868,0.8874310612550868,1811.5,0.4000000000000001,0.0,0.0,1.0,0.6450275754979653
kgd_12cc3ea57ec8,51,26,0,0,0,0,1,0,0,0.5335009135173633,0.5335009135173633,0.46153846153846156,0.05263157894736842,0.5,1.0,0.05339161569260342,1,47,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.24156231797218125,0.7584376820278187,0.7584376820278187,416.5,0.8,0.0,0.4000000000000001,1.0,0.6966249271888725
kgd_ddd2187bfd39,75,15,0,0,0,0,7,0,0,0.22650676953220744,0.15073522013147947,0.175,0.175,0.5,0.0,0.2437392390889055,2,279,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.48994318644318646,0.5100568135568135,0.5100568135568135,64.3,2.2449944320643644,0.0,0.0,1.0,0.7959772745772746
kgd_3e8127018a81,20,19,0,0,0,0,0,0,1,0.20916237859307335,0.1664449426053567,0.15555555555555556,0.225,0.3888888888888889,1.0,0.0,2,52,1,0,0.4181656600790517,0.6,0.0,0.0,3.0,2.0,0.0,0.0,0.38746740038502053,0.6125325996149795,0.6125325996149795,372.8,0.0,0.0,0.0,0.6,0.5149869601540082
kgd_eb69b04ff6b4,16,15,1,0,0,0,0,0,0,0.3864956561350349,0.27853303899512405,0.25,0.3125,0.6428571428571429,0.0,0.3622850159979799,2,57,0,0,0.31091750708257115,0.8,1.0,0.0,4.0,0.0,0.0,0.4,0.39336615391134844,0.6066338460886516,0.6066338460886516,80.8,0.7483314773547882,0.4,0.4,0.8,0.6373464615645393
kgd_1adee6c0a8f6,90,18,0,0,0,0,3,0,0,0.29859800479548565,0.17269973356178484,0.1951219512195122,0.22727272727272727,0.5,1.0,0.024575889272395457,3,184,0,0,-0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3699446640316205,0.6300553359683795,0.6300553359683795,27.2,0.0,0.0,0.4898979485566356,1.0,0.7479778656126482
kgd_0d4ccbafb0cd,52,26,0,0,0,0,0,0,0,0.16087179393824907,0.09962970150806612,0.09803921568627451,0.09523809523809523,0.2631578947368421,0.0,0.17793800438561028,2,59,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4531940895126379,0.5468059104873622,0.5468059104873622,134.3,0.4898979485566356,0.0,0.0,1.0,0.7812776358050552
kgd_5d7e7c6aedfe,53,11,0,1,0,0,1,0,0,0.03630588109329661,0.03630588109329661,0.038461538461538464,0.09090909090909091,0.09090909090909091,0.0,0.08286383388305177,1,117,0,0,0.31091750708257115,0.8,0.0,1.0,0.0,4.0,0.0,0.0,0.2437377868919451,0.7562622131080549,0.7562622131080549,292.3,0.4898979485566356,0.0,0.0,0.8,0.5774951147567781
kgd_5bd7ec0b1b8d,21,19,0,0,0,0,0,0,0,0.20000184165317408,0.20000184165317408,0.17073170731707318,0.2,0.3888888888888889,1.0,0.0,1,35,0,0,-0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.5919971497370877,0.4080028502629123,0.4080028502629123,104.3,0.0,0.0,0.0,1.0,0.836798859894835
kgd_e82d790982f0,37,31,0,1,0,0,0,0,0,0.1835195598295448,0.1835195598295448,0.14516129032258066,0.3148148148148148,0.2903225806451613,0.0,0.22945069438397253,1,55,0,0,0.31091750708257115,0.8,0.0,4.0,0.0,1.0,0.0,0.0,0.4202279988927834,0.5797720011072166,0.5797720011072166,27.7,0.0,0.0,0.0,0.8,0.6480911995571134
kgd_345f8270f529,21,18,0,0,0,0,0,0,0,0.16843532070546716,0.16843532070546716,0.1320754716981132,0.22641509433962265,0.3888888888888889,0.0,0.19431988727688254,1,54,0,0,-0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.38721139971139973,0.6127886002886003,0.6127886002886003,220.0,0.0,0.0,0.0,1.0,0.7548845598845599
kgd_deec73f4228f,45,8,1,0,0,0,2,0,0,0.24829898562522312,0.16902395968729425,0.2,0.10526315789473684,0.5,0.0,0.23659922857267252,2,108,0,0,0.4181656600790517,0.6,0.0,0.0,3.0,2.0,0.0,0.0,0.22522190924739652,0.7747780907526035,0.7747780907526035,599.3,0.4898979485566356,0.0,0.7483314773547883,0.6,0.4500887636989586
kgd_973cbff09f56,57,10,0,0,0,0,2,0,0,0.17986737495021785,0.13302318159939314,0.16666666666666666,0.10526315789473684,0.3,1.0,0.0,2,76,0,1,-0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4644962743542633,0.5355037256457367,0.5355037256457367,635.3,0.0,0.0,0.4,1.0,0.7857985097417053
